run_id,bag_name,slice_idx,duration,distance_km,weighted_pts,pts_per_km,total_msgs,image_msgs,lidar_msgs,radar_msgs,imu_msgs,odometry_msgs,msg_rate,image_rate,lidar_rate,radar_rate,imu_rate,odometry_rate,image_ratio,lidar_ratio,radar_ratio,imu_ratio,odometry_ratio
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice1,1,60.0,13.06883426871531,54000.4,4131.99822491194,24308,0,3158,0,14978,1194,405.1333333333333,0.0,52.63333333333333,0.0,249.63333333333333,19.9,0.0,0.1299160770116834,0.0,0.6161757446108277,0.04911963139707092
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice2,2,60.0,15.890375659483158,54293.4,3416.7474176482697,24324,0,3189,0,14981,1189,405.4,0.0,53.15,0.0,249.68333333333334,19.816666666666666,0.0,0.13110508140108534,0.0,0.6158937674724552,0.048881762867949353
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice3,3,60.0,15.269954894715893,54785.9,3587.823302540235,24382,0,3236,0,14969,1189,406.3666666666667,0.0,53.93333333333333,0.0,249.48333333333332,19.816666666666666,0.0,0.13272085965056188,0.0,0.6139365105405628,0.048765482733163806
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice4,4,60.0,14.812662567257718,53938.6,3641.3845083615984,24258,0,3157,0,14971,1181,404.3,0.0,52.61666666666667,0.0,249.51666666666668,19.683333333333334,0.0,0.13014263335806744,0.0,0.6171572264819853,0.04868496990683486
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice5,5,60.0,14.49056127168555,52250.3,3605.816159936931,24072,0,2990,0,14959,1178,401.2,0.0,49.833333333333336,0.0,249.31666666666666,19.633333333333333,0.0,0.1242107012296444,0.0,0.6214273845131273,0.04893652376204719
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice6,6,60.0,36.27200189616983,53973.2,1488.0127144484775,24298,0,3156,0,14974,1192,404.96666666666664,0.0,52.6,0.0,249.56666666666666,19.866666666666667,0.0,0.12988723351716192,0.0,0.6162647131451148,0.04905753559963783
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice7,7,60.0,17.13056964334394,54822.9,3200.296379011621,24377,0,3241,0,14979,1184,406.28333333333336,0.0,54.016666666666666,0.0,249.65,19.733333333333334,0.0,0.13295319358411617,0.0,0.614472658653649,0.04857037371292612
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice8,8,60.0,13.28936348186539,55113.5,4147.188845817006,24418,0,3269,0,14980,1190,406.96666666666664,0.0,54.483333333333334,0.0,249.66666666666666,19.833333333333332,0.0,0.13387664837415023,0.0,0.6134818576459988,0.04873454009337374
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice9,9,60.0,14.672814027587977,55544.7,3785.5519667573158,24465,0,3311,0,14981,1187,407.75,0.0,55.18333333333333,0.0,249.68333333333334,19.783333333333335,0.0,0.1353361945636624,0.0,0.6123441651338647,0.04851829143674637
P-SOLO-SLOW-70,P-SOLO-SLOW-70_slice10,10,60.0,11.48252679929419,55128.8,4801.103534405744,24417,0,3271,0,14972,1193,406.95,0.0,54.516666666666666,0.0,249.53333333333333,19.883333333333333,0.0,0.13396404144653315,0.0,0.6131793422615391,0.04885940123684318
